GENERALIZED BORN:
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,ESCF,G gas,G solv,TOTAL
0,491.3628,1420.488,-1126.0882,0.0,0.0,0.0,-1282.9924,-15940.2615,608.1238,11522.9215,-1928.8242,56.24278128,42.3239,-4306.446000000002,-1872.58141872,-6136.703518720002
1,504.2172,1429.5081,-1110.1382,0.0,0.0,0.0,-1282.554,-16097.2288,616.1304,11556.5856,-1838.182,54.93897576,41.9054,-4383.4797,-1783.24302424,-6124.81732424
2,466.8178,1365.6605,-1101.1613,0.0,0.0,0.0,-1280.7681,-16124.5963,629.0798,11600.3826,-1808.8077,56.40664032,54.4334,-4444.584999999999,-1752.4010596800001,-6142.552659679999
3,469.5889,1405.6529,-1085.3516,0.0,0.0,0.0,-1289.7837,-16022.6246,617.5884,11585.0234,-1913.0204,57.73847688,49.5694,-4319.906299999997,-1855.28192312,-6125.618823119997
4,510.2948,1356.7748,-1072.2091,0.0,0.0,0.0,-1305.5861,-15952.7887,612.2496,11519.1982,-1932.9823,56.56023072,55.0872,-4332.066499999999,-1876.42206928,-6153.401369279999
5,479.9436,1447.0827,-1112.8054,0.0,0.0,0.0,-1281.899,-16016.1783,603.1512,11525.8627,-1875.7179,55.94961672,46.6117,-4354.842500000001,-1819.76828328,-6127.9990832799995
6,496.6458,1434.8033,-1121.246,0.0,0.0,0.0,-1266.0509,-16070.9528,616.233,11564.5443,-1874.8089,58.10485392,47.7511,-4346.023299999999,-1816.70404608,-6114.976246079998
7,495.1398,1459.2505,-1115.3273,0.0,0.0,0.0,-1289.5742,-15967.8256,606.2621,11534.9704,-1918.7843,56.79887832,47.2959,-4277.104300000001,-1861.98542168,-6091.793821680001
8,508.03,1393.5463,-1093.7496,0.0,0.0,0.0,-1291.3059,-15917.3583,602.9461,11552.9455,-1954.4454,58.67587008,42.6742,-4244.945900000002,-1895.76952992,-6098.0412299200025
9,471.0436,1428.0202,-1052.2113,0.0,0.0,0.0,-1326.9464,-15921.8434,605.3541,11534.5232,-1953.2719,57.495888,48.0235,-4262.060000000001,-1895.776012,-6109.812512
10,539.2109,1377.5051,-1090.515,0.0,0.0,0.0,-1271.1569,-15975.4644,616.9107,11567.7156,-1928.3665,57.85395192,53.09,-4235.794000000002,-1870.51254808,-6053.216548080001
11,489.1251,1399.6629,-1104.282,0.0,0.0,0.0,-1260.3194,-16015.2031,615.6934,11585.8805,-1910.2108,57.38271624,38.3148,-4289.442600000002,-1852.82808376,-6103.955883760002
12,511.3435,1384.3508,-1121.943,0.0,0.0,0.0,-1295.2333,-15983.7092,600.2887,11531.7258,-1947.0607,58.11370776,51.4393,-4373.176700000002,-1888.94699224,-6210.684392240002
13,550.7908,1386.9412,-1088.7024,0.0,0.0,0.0,-1276.1221,-16003.9111,599.5985,11538.6169,-1891.5885,56.38117392,42.1034,-4292.788199999999,-1835.20732608,-6085.892126079999
14,461.6975,1408.7637,-1073.2271,0.0,0.0,0.0,-1283.3148,-15959.7652,604.0185,11536.9733,-1955.4045,57.2773824,35.9607,-4304.8541000000005,-1898.1271176,-6167.020517600002
15,485.7503,1425.7953,-1095.5059,0.0,0.0,0.0,-1259.4483,-16119.5301,605.72,11596.7137,-1816.1891,57.25813968,53.1066,-4360.504999999999,-1758.93096032,-6066.329360319999
16,488.3447,1380.2574,-1122.3448,0.0,0.0,0.0,-1289.9174,-16157.0949,629.4163,11565.2892,-1749.1784,56.7411732,43.8456,-4506.049500000001,-1692.4372268,-6154.641126800001
17,523.4163,1430.4864,-1118.8236,0.0,0.0,0.0,-1271.079,-16047.7805,609.0296,11545.5833,-1869.8889,56.826120960000004,48.2743,-4329.1675,-1813.06277904,-6093.95597904
18,501.6956,1374.1035,-1110.2684,0.0,0.0,0.0,-1286.31,-15918.3628,614.1022,11489.859,-1900.6041,56.3020128,38.6763,-4335.180900000001,-1844.3020872,-6140.806687200002
19,478.7341,1425.235,-1102.638,0.0,0.0,0.0,-1282.3847,-16013.7725,611.0244,11585.5603,-1893.8355,58.1074956,43.5334,-4298.241399999999,-1835.7280044,-6090.436004399999
20,504.0585,1391.0253,-1079.4492,0.0,0.0,0.0,-1292.9585,-16032.3555,591.768,11540.3615,-1867.2973,57.04328664,48.4112,-4377.5499,-1810.25401336,-6139.392713360001
21,517.5523,1403.9076,-1073.731,0.0,0.0,0.0,-1277.8695,-15980.7556,610.3611,11575.3213,-1961.9284,58.03187256,40.5349,-4225.2137999999995,-1903.89652744,-6088.57542744
22,491.2935,1401.4696,-1092.0045,0.0,0.0,0.0,-1269.0423,-15931.9209,614.1865,11577.253,-2001.7952,57.86203536,54.256,-4208.7651000000005,-1943.93316464,-6098.442264640001
23,516.753,1417.1973,-1077.9063,0.0,0.0,0.0,-1272.0474,-15892.1576,599.3523,11526.8549,-1998.188,58.04640792,46.7894,-4181.953799999999,-1940.14159208,-6075.30599208
