GENERALIZED BORN:
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,ESCF,G gas,G solv,TOTAL
0,541.165,1416.0375,-1083.0762,0.0,0.0,0.0,-1249.4015,-15860.5635,593.5421,11504.4735,-2037.4768,59.088741119999995,2.4142,-4137.8231,-1978.38805888,-6113.79695888
1,503.4057,1442.8213,-1106.0016,0.0,0.0,0.0,-1272.4822,-15896.5666,601.5606,11559.2016,-1992.2267,57.85225704,-8.7897,-4168.061199999998,-1934.37444296,-6111.225342959999
2,495.3868,1425.7217,-1103.103,0.0,0.0,0.0,-1267.1438,-15817.3611,613.9467,11505.6011,-2060.3152,60.3361548,2.5325,-4146.9516,-1999.9790452,-6144.3981452
3,509.1823,1507.3815,-1117.695,0.0,0.0,0.0,-1295.0495,-15801.107,585.4155,11497.9723,-2040.0146,58.57500672,-3.7946,-4113.899900000002,-1981.43959328,-6099.134093280003
4,520.0047,1475.2614,-1064.7521,0.0,0.0,0.0,-1249.111,-15938.9318,586.8178,11537.3366,-1954.2386,59.01690888,4.8284,-4133.374399999999,-1895.2216911199998,-6023.767691119998
5,504.485,1411.0457,-1128.05,0.0,0.0,0.0,-1273.8615,-15882.1989,629.3067,11529.1437,-2001.6934,59.016562560000004,-2.7046,-4210.1293000000005,-1942.67683744,-6155.51073744
6,525.6118,1410.0467,-1112.5179,0.0,0.0,0.0,-1289.51,-15909.2625,586.7727,11542.7374,-1968.2593,57.26833344,10.0338,-4246.121800000001,-1910.9909665599998,-6147.0789665600005
7,517.6722,1387.7522,-1059.7576,0.0,0.0,0.0,-1306.9103,-16013.2361,608.5155,11578.486,-1893.7432,56.666987999999996,5.3403,-4287.478099999998,-1837.076212,-6119.214011999999
8,490.7952,1433.0545,-1124.8614,0.0,0.0,0.0,-1275.6397,-15974.0928,609.6083,11571.0675,-1982.9511,58.93137576,6.5624,-4270.068400000002,-1924.01972424,-6187.525724240002
9,479.0129,1459.3835,-1103.678,0.0,0.0,0.0,-1267.6814,-15987.7352,620.4952,11543.382,-1919.0273,58.220905679999994,9.14,-4256.821,-1860.80639432,-6108.487394319999
10,507.3747,1435.6334,-1073.7872,0.0,0.0,0.0,-1266.0415,-16014.1428,602.2693,11562.5387,-1877.215,57.32159471999999,-9.9945,-4246.1554000000015,-1819.89340528,-6076.043305280002
11,509.4118,1416.2526,-1088.9037,0.0,0.0,0.0,-1305.0721,-16057.1146,614.9452,11547.8496,-1861.0733,56.95613784,-1.8754,-4362.6312,-1804.1171621600001,-6168.623762159999
12,499.5084,1457.7485,-1104.1118,0.0,0.0,0.0,-1278.4977,-16058.6526,589.1446,11504.5816,-1813.1062,56.12234256,-3.1335,-4390.279,-1756.9838574399998,-6150.39635744
13,510.0273,1471.6572,-1121.2959,0.0,0.0,0.0,-1292.1856,-15957.4723,592.703,11492.7995,-1875.7297,56.34839736,-4.8382,-4303.766800000001,-1819.38130264,-6127.986302640002
14,494.7242,1421.745,-1088.0477,0.0,0.0,0.0,-1278.3823,-16090.6196,606.4502,11584.5268,-1840.815,56.588414400000005,3.8274,-4349.6034,-1784.2265856000001,-6130.0025856
15,469.0835,1415.3073,-1095.0055,0.0,0.0,0.0,-1257.3379,-16140.5723,609.7927,11601.1769,-1823.833,57.06572256,3.8764,-4397.5553,-1766.76727744,-6160.446177440001
16,508.1762,1400.6442,-1067.9156,0.0,0.0,0.0,-1295.3538,-15953.4775,612.9824,11581.8101,-1987.9946,58.574460959999996,6.3179,-4213.134,-1929.42013904,-6136.23623904
17,490.1321,1444.2662,-1107.7113,0.0,0.0,0.0,-1268.2895,-15965.1909,589.4218,11583.2471,-1971.7873,58.60447344,3.462,-4234.124499999998,-1913.18282656,-6143.845326559997
18,519.8381,1384.6184,-1067.2394,0.0,0.0,0.0,-1250.1269,-16097.2264,605.0988,11545.4276,-1827.3693,57.51408024,2.0227,-4359.6098,-1769.8552197600002,-6127.44231976
19,510.8296,1402.3232,-1075.4417,0.0,0.0,0.0,-1263.0697,-15949.5093,601.6785,11528.4573,-1919.8916,56.994545519999996,-1.6617,-4244.732099999999,-1862.89705448,-6109.290854479998
20,544.4374,1437.6512,-1104.1796,0.0,0.0,0.0,-1302.5245,-15900.4108,606.5042,11556.9395,-1994.4043,56.104675199999996,6.5213,-4161.5826,-1938.2996248,-6093.360924799999
21,523.1755,1422.3396,-1076.5765,0.0,0.0,0.0,-1251.1307,-16007.1003,598.4674,11494.3468,-1904.9739,59.488493760000004,3.7429,-4296.4782,-1845.48540624,-6138.220706239999
22,519.4282,1427.3109,-1090.2082,0.0,0.0,0.0,-1280.3911,-16069.9305,605.5249,11624.8823,-1907.3003,57.142298159999996,1.4194,-4263.383500000002,-1850.15800184,-6112.122101840002
23,492.9657,1384.6308,-1068.8624,0.0,0.0,0.0,-1262.504,-16083.5437,613.7197,11608.9827,-1879.0984,58.51033632,6.4819,-4314.611200000001,-1820.58806368,-6128.717363680002
24,523.0394,1409.81,-1073.7118,0.0,0.0,0.0,-1279.682,-16147.6526,610.8995,11541.7831,-1740.8672,58.10108904,9.2262,-4415.5144,-1682.7661109599999,-6089.054310959999
25,482.8828,1391.4847,-1077.1081,0.0,0.0,0.0,-1267.534,-15931.9077,617.6074,11580.3029,-1958.8587,60.58840607999999,-2.6747,-4204.271999999999,-1898.27029392,-6105.2169939199985
26,515.524,1409.649,-1101.7598,0.0,0.0,0.0,-1283.1182,-15994.4632,585.8985,11519.4753,-1890.769,55.59521472,7.8704,-4348.794400000001,-1835.17378528,-6176.0977852800015
27,493.1713,1384.7666,-1115.3663,0.0,0.0,0.0,-1242.9398,-15888.5861,608.161,11506.457,-1951.4558,60.39665712,11.7724,-4254.336300000001,-1891.0591428799999,-6133.623042880001
28,494.8013,1368.0147,-1098.2986,0.0,0.0,0.0,-1247.7299,-15880.5777,607.1913,11468.7392,-1927.7378,59.78636496,0.4742,-4287.859699999999,-1867.9514350400002,-6155.336935039999
29,497.0404,1397.863,-1106.6035,0.0,0.0,0.0,-1268.5285,-15789.3318,606.8444,11469.88,-2048.482,59.6586168,12.7335,-4192.836000000001,-1988.8233832,-6168.9258832000005
30,520.6581,1377.6677,-1108.5368,0.0,0.0,0.0,-1247.665,-15885.7462,615.3318,11597.0266,-2056.0057,59.759680319999994,14.7721,-4131.263800000001,-1996.2460196800002,-6112.73771968
31,494.6405,1415.6008,-1091.114,0.0,0.0,0.0,-1262.8153,-15869.9173,605.5373,11486.6551,-1982.3826,59.708093039999994,11.1458,-4221.412899999999,-1922.67450696,-6132.941606959999
32,491.3372,1406.8625,-1080.3782,0.0,0.0,0.0,-1262.4047,-15930.5114,595.9917,11549.8243,-1992.3507,57.86811504,-2.6586,-4229.2786,-1934.48258496,-6166.41978496
33,484.3362,1454.1624,-1086.1357,0.0,0.0,0.0,-1251.7521,-15839.5365,598.3362,11502.9408,-2051.324,61.22065247999999,7.2317,-4137.6487,-1990.1033475200002,-6120.52034752
34,533.1589,1403.9405,-1097.6005,0.0,0.0,0.0,-1260.2602,-15941.159,597.3429,11524.4757,-1955.3147,59.94143352,2.2614,-4240.101699999999,-1895.37326648,-6133.213566479999
35,516.3233,1414.8309,-1096.0324,0.0,0.0,0.0,-1271.8692,-15865.2527,597.9951,11573.2123,-2070.6062,58.9727232,3.0626,-4130.7927,-2011.6334768000002,-6139.3635768
36,483.828,1426.3017,-1082.1387,0.0,0.0,0.0,-1245.6102,-15986.472,621.4406,11551.9172,-1938.1174,58.924439279999994,5.6961,-4230.733399999999,-1879.1929607200002,-6104.230260719999
37,505.1356,1396.487,-1080.4649,0.0,0.0,0.0,-1256.3696,-15785.5334,588.0963,11518.4283,-2077.9987,59.6498868,1.7953,-4114.220700000002,-2018.3488132,-6130.774213200002
38,521.1847,1358.2706,-1094.3567,0.0,0.0,0.0,-1257.4529,-15940.2788,603.6852,11618.5374,-2043.094,61.01755128,0.1314,-4190.4105,-1982.0764487200001,-6172.35554872
39,506.6194,1468.9676,-1084.1482,0.0,0.0,0.0,-1252.3298,-16027.1148,590.0741,11558.4969,-1940.4886,59.241949919999996,9.0839,-4239.434799999999,-1881.2466500799999,-6111.59755008
40,492.4289,1438.4721,-1129.8371,0.0,0.0,0.0,-1274.5651,-15823.2929,593.7909,11582.9383,-2107.8405,59.08927752,5.9731,-4120.064900000001,-2048.75122248,-6162.843022480001
41,510.82,1415.1387,-1095.5664,0.0,0.0,0.0,-1267.941,-15977.071,597.8471,11529.6755,-1924.223,57.5817048,4.196,-4287.097100000001,-1866.6412952,-6149.542395200001
42,518.063,1468.7531,-1078.3153,0.0,0.0,0.0,-1257.0193,-15896.3859,575.1889,11499.2526,-1974.7489,58.48721423999999,5.8352,-4170.4629,-1916.26168576,-6080.889385760001
43,509.2866,1421.1155,-1114.3586,0.0,0.0,0.0,-1267.8812,-16042.4326,599.6742,11614.6265,-1918.3569,58.46765256,7.8007,-4279.9696,-1859.88924744,-6132.0581474400005
44,535.3599,1371.3565,-1096.6286,0.0,0.0,0.0,-1245.0483,-15941.9406,613.0758,11537.833,-2004.7543,59.414659199999996,4.5249,-4225.992299999998,-1945.3396408,-6166.8070407999985
45,502.7275,1428.2348,-1109.3847,0.0,0.0,0.0,-1297.2584,-15952.2984,608.0311,11512.5384,-1935.23,57.323446559999994,-3.7767,-4307.409700000002,-1877.90655344,-6189.092953440002
46,472.6756,1386.7169,-1130.9967,0.0,0.0,0.0,-1239.7453,-15980.8432,636.1837,11632.6141,-2010.8683,59.172155999999994,-3.9446,-4223.394899999999,-1951.696144,-6179.035644
