GENERALIZED BORN:
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,540.9776,1392.0165,-1088.8901,0.0,0.0,0.0,-1268.8776,-16178.1877,606.9169,11765.2103,-2007.8543,55.59301728,-4230.834099999998,-1952.26128272,-6183.095382719998
1,471.8954,1406.6286,-1067.9395,0.0,0.0,0.0,-1278.7025,-16183.7756,615.8836,11839.842,-2064.4905,58.43798279999999,-4196.168,-2006.0525171999998,-6202.220517199999
2,529.5099,1429.7604,-1099.3185,0.0,0.0,0.0,-1289.9928,-16251.9522,613.0827,11810.341,-1952.6347,56.21024448,-4258.5695,-1896.42445552,-6154.99395552
3,500.417,1411.2212,-1095.4976,0.0,0.0,0.0,-1282.4685,-16215.2062,610.1494,11829.0401,-2015.4514,55.32669575999999,-4242.3446,-1960.12470424,-6202.46930424
4,509.3438,1397.3889,-1064.6213,0.0,0.0,0.0,-1283.4301,-16281.9771,590.3785,11750.4083,-1898.1274,54.5176332,-4382.509,-1843.6097668,-6226.1187668
5,503.4996,1397.2482,-1133.4181,0.0,0.0,0.0,-1287.2707,-16115.5775,621.2959,11795.0152,-2075.0044,57.301678079999995,-4219.207399999999,-2017.7027219199997,-6236.910121919999
6,498.885,1436.6463,-1113.7323,0.0,0.0,0.0,-1260.4865,-16218.7038,611.9378,11770.7581,-1990.1726,56.005907040000004,-4274.6954000000005,-1934.16669296,-6208.86209296
7,530.1019,1453.9765,-1105.1563,0.0,0.0,0.0,-1297.6239,-16124.5547,604.0847,11764.8383,-2050.0119,56.21764032,-4174.333500000001,-1993.7942596799999,-6168.12775968
8,503.8122,1392.407,-1120.6625,0.0,0.0,0.0,-1293.4857,-16248.3955,609.9836,11770.683,-1939.2476,54.790007759999995,-4385.657899999998,-1884.45759224,-6270.115492239998
9,490.554,1442.3045,-1102.2398,0.0,0.0,0.0,-1261.0882,-16053.5713,623.7752,11801.3652,-2189.6739,57.49644816,-4058.9003999999986,-2132.17745184,-6191.077851839998
