GENERALIZED BORN:
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,ESCF,G gas,G solv,TOTAL
0,502.9505,1411.2704,-1122.2848,0.0,0.0,0.0,-1251.3839,-15958.1863,605.5634,11542.669,-1927.8021,60.22885752,40.2879,-4269.4017,-1867.57324248,-6096.68704248
1,505.2134,1398.376,-1091.4893,0.0,0.0,0.0,-1254.6415,-15931.6389,594.4967,11556.5872,-1992.0421,59.27887512,35.9818,-4223.0964,-1932.7632248799998,-6119.877824880001
2,487.7272,1412.1694,-1107.0869,0.0,0.0,0.0,-1261.2072,-15948.3848,604.7931,11616.1369,-1989.4767,60.544514160000006,47.4258,-4195.852299999999,-1928.9321858399999,-6077.3586858399985
3,507.4172,1401.0642,-1062.3865,0.0,0.0,0.0,-1267.7164,-15830.3895,595.459,11607.7095,-2115.2907,58.858244639999995,45.2839,-4048.842499999997,-2056.43245536,-6059.991055359997
4,470.1251,1373.9716,-1124.1466,0.0,0.0,0.0,-1238.1186,-15861.0328,607.3534,11524.3339,-2054.0132,60.92784936,38.8409,-4247.514000000001,-1993.08535064,-6201.75845064
5,470.0237,1414.6978,-1101.6694,0.0,0.0,0.0,-1261.1754,-15828.3311,609.8954,11558.523,-2088.8188,57.83826024,57.0098,-4138.036,-2030.98053976,-6112.0067397600005
6,525.2724,1360.5668,-1049.1451,0.0,0.0,0.0,-1267.1511,-15880.0876,600.9221,11571.1224,-2050.0077,58.68566712,43.2224,-4138.500100000001,-1991.32203288,-6086.599732880001
7,492.7708,1421.2996,-1104.5526,0.0,0.0,0.0,-1267.3618,-15827.2348,585.4404,11522.2208,-2038.4848,58.186954799999995,38.0367,-4177.417600000001,-1980.2978452,-6119.678745200001
8,522.8982,1408.8913,-1074.2029,0.0,0.0,0.0,-1249.486,-15923.9912,593.397,11528.244,-1986.1949,59.19695928,33.0989,-4194.249599999999,-1926.9979407199999,-6088.14864072
9,498.6833,1384.2451,-1085.1613,0.0,0.0,0.0,-1255.9187,-15909.8035,599.54,11549.3743,-2007.1867,58.95658224,39.1478,-4219.040799999999,-1948.23011776,-6128.123117759999
10,508.471,1441.2797,-1090.3384,0.0,0.0,0.0,-1244.9094,-15812.0154,593.3888,11535.0306,-2088.1541,60.05170224,32.9537,-4069.0931,-2028.1023977600003,-6064.24179776
11,531.1783,1412.8428,-1101.1022,0.0,0.0,0.0,-1239.9167,-15873.2294,601.7065,11506.6232,-2004.0033,60.650394479999996,51.4717,-4161.897500000001,-1943.3529055200001,-6053.7787055200015
12,488.9032,1390.8879,-1082.9098,0.0,0.0,0.0,-1235.7518,-15911.4286,609.6991,11528.4911,-1957.8807,58.48695864,42.5326,-4212.108900000001,-1899.39374136,-6068.97004136
13,526.536,1438.3779,-1097.7114,0.0,0.0,0.0,-1250.6953,-15903.2248,599.0108,11455.7998,-1930.6831,58.74046344,40.8765,-4231.906999999999,-1871.94263656,-6062.973136559999
14,530.2101,1423.841,-1095.8222,0.0,0.0,0.0,-1251.3527,-15898.9055,599.0315,11521.4232,-1977.0807,59.85972432,36.6815,-4171.574600000002,-1917.22097568,-6052.114075680002
15,477.6435,1440.2863,-1105.9313,0.0,0.0,0.0,-1228.6743,-16084.1109,614.8748,11590.3346,-1852.2134,58.099715999999994,35.3108,-4295.577300000001,-1794.1136840000001,-6054.3801840000015
