GENERALIZED BORN:
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,482.7121,1410.1906,-1092.0118,0.0,0.0,0.0,-1276.3197,-16200.1554,630.3803,11819.8311,-2037.4934,56.092603679999996,-4225.372800000001,-1981.4007963200002,-6206.773596320001
1,512.5171,1408.2548,-1090.5842,0.0,0.0,0.0,-1308.6209,-16106.3633,600.731,11783.2488,-2091.25,56.543562,-4200.816700000001,-2034.706438,-6235.523138000001
2,486.3515,1397.654,-1085.5459,0.0,0.0,0.0,-1302.6187,-16202.1278,605.783,11750.2183,-1937.4117,54.24877224,-4350.285599999999,-1883.16292776,-6233.44852776
3,515.2159,1433.1966,-1099.4728,0.0,0.0,0.0,-1298.3534,-16257.5646,616.8337,11766.0869,-1917.4466,52.68505104,-4324.057699999999,-1864.76154896,-6188.81924896
4,500.3017,1456.8119,-1091.574,0.0,0.0,0.0,-1289.8623,-16145.0743,603.055,11777.4406,-2029.7235,54.90885456,-4188.901400000001,-1974.81464544,-6163.716045440001
5,512.8315,1474.0444,-1091.4036,0.0,0.0,0.0,-1297.8284,-16158.9507,603.1058,11724.7463,-1984.0007,54.20137104,-4233.454699999998,-1929.7993289600001,-6163.254028959999
6,525.8883,1398.7311,-1088.5819,0.0,0.0,0.0,-1298.1051,-16156.4853,596.6731,11715.9481,-1962.8567,54.78955992,-4305.931699999999,-1908.06714008,-6213.998840079999
7,487.7773,1439.9014,-1122.4175,0.0,0.0,0.0,-1268.0965,-16178.8176,619.1554,11755.6194,-2043.9086,55.76875128,-4266.878100000002,-1988.13984872,-6255.017948720001
8,510.3487,1454.6862,-1097.0921,0.0,0.0,0.0,-1303.2134,-16160.0285,612.0949,11738.4463,-2010.8668,54.59007816,-4244.7579000000005,-1956.27672184,-6201.03462184
9,490.1879,1411.6485,-1063.2256,0.0,0.0,0.0,-1308.38,-16079.7012,594.2881,11773.7024,-2062.6959,55.78464456,-4181.479899999998,-2006.91125544,-6188.391155439999
10,509.7269,1403.0133,-1117.3302,0.0,0.0,0.0,-1320.7386,-16215.4111,619.6613,11812.3955,-2016.7734,53.84458152,-4308.682899999998,-1962.92881848,-6271.611718479998
11,546.4288,1401.321,-1111.4135,0.0,0.0,0.0,-1301.4526,-16014.8385,599.2906,11726.7354,-2134.3111,55.68937488,-4153.9288,-2078.62172512,-6232.550525119999
12,528.6664,1470.7443,-1089.0888,0.0,0.0,0.0,-1283.9974,-16195.2374,612.1423,11739.0153,-1997.3893,56.027394,-4217.755300000001,-1941.361906,-6159.117206000001
13,534.7584,1423.57,-1100.4155,0.0,0.0,0.0,-1278.6019,-16192.2662,619.7577,11795.364,-2010.4283,55.21513536,-4197.833500000001,-1955.21316464,-6153.04666464
14,500.8168,1423.8613,-1086.299,0.0,0.0,0.0,-1281.7543,-16199.7381,610.4635,11722.3931,-1939.6141,55.23737328,-4310.256700000002,-1884.37672672,-6194.633426720002
15,556.3035,1464.8802,-1109.7917,0.0,0.0,0.0,-1274.8667,-16081.4202,610.9043,11688.1264,-2052.4392,58.3004952,-4145.8642,-1994.1387047999997,-6140.0029048
16,503.4468,1389.5021,-1086.5621,0.0,0.0,0.0,-1308.7126,-16132.9881,616.5021,11790.8143,-2054.5436,55.90611791999999,-4227.997500000001,-1998.63748208,-6226.6349820800015
17,498.5773,1465.7896,-1131.3575,0.0,0.0,0.0,-1274.5788,-16139.896,608.1001,11690.0806,-1977.5984,56.695726799999996,-4283.284700000002,-1920.9026732,-6204.187373200002
18,524.5869,1389.0992,-1091.4178,0.0,0.0,0.0,-1276.6276,-16160.2245,604.2986,11744.7521,-2030.9699,56.725965360000004,-4265.533100000001,-1974.2439346400001,-6239.77703464
19,478.602,1421.2632,-1116.8336,0.0,0.0,0.0,-1289.3465,-16195.4883,616.2193,11765.0689,-1994.5801,56.3448564,-4320.515000000001,-1938.2352435999999,-6258.750243600001
20,495.694,1447.8468,-1132.8648,0.0,0.0,0.0,-1296.9425,-16211.9683,594.6898,11850.2045,-2040.5043,54.646468559999995,-4253.340500000002,-1985.8578314400002,-6239.198331440002
21,541.1164,1408.8529,-1085.6908,0.0,0.0,0.0,-1271.1769,-16130.9295,636.4058,11772.1388,-2072.1435,56.746356479999996,-4129.283299999999,-2015.39714352,-6144.680443519999
22,509.4313,1425.6614,-1116.7298,0.0,0.0,0.0,-1274.0779,-16087.8897,618.9938,11737.3452,-2090.4934,58.571503199999995,-4187.2657,-2031.9218967999998,-6219.1875967999995
