GENERALIZED BORN:
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,ESCF,G gas,G solv,TOTAL
0,503.8757,1332.2065,-1100.7816,0.0,0.0,0.0,-1267.7846,-15889.7361,624.0589,11649.279,-2064.7205,57.943271519999996,2.5312,-4148.882199999998,-2006.7772284799998,-6153.128228479997
1,537.4408,1391.4976,-1097.596,0.0,0.0,0.0,-1311.3565,-16050.3232,603.9633,11592.1867,-1880.062,55.29465576,-1.7964,-4334.1873,-1824.7673442399998,-6160.75104424
2,494.3192,1394.3955,-1115.8542,0.0,0.0,0.0,-1273.2433,-15927.7372,616.3837,11561.6559,-1988.0022,57.669065999999994,10.257,-4250.080399999999,-1930.333134,-6170.156533999999
3,480.309,1326.5181,-1102.3757,0.0,0.0,0.0,-1272.7715,-15968.8063,604.2436,11572.9663,-1927.1269,58.91198688,-0.3602,-4359.916500000001,-1868.21491312,-6228.491613120002
4,540.7744,1429.9427,-1081.1741,0.0,0.0,0.0,-1261.9997,-16033.2831,605.7647,11535.3683,-1902.2277,59.071970879999995,1.2111,-4264.6068,-1843.15572912,-6106.551429119999
5,507.7018,1422.0371,-1097.3478,0.0,0.0,0.0,-1290.893,-15968.3285,598.8516,11550.7342,-1932.8623,57.448064159999994,-10.8021,-4277.244599999998,-1875.41423584,-6163.460935839998
6,500.3999,1443.7071,-1071.9641,0.0,0.0,0.0,-1269.4978,-15802.6176,583.7877,11467.838,-2054.5003,57.95034048,-1.5996,-4148.346799999999,-1996.5499595200001,-6146.496359519999
7,540.0696,1432.3378,-1111.6287,0.0,0.0,0.0,-1286.1224,-15846.0329,591.2982,11570.8664,-2098.8691,57.058660079999996,-5.2189,-4109.2119999999995,-2041.81043992,-6156.2413399199995
8,488.5244,1390.162,-1110.6152,0.0,0.0,0.0,-1239.4424,-15918.2657,601.1172,11541.3016,-2019.2274,58.65261552,0.1823,-4247.2181,-1960.57478448,-6207.6105844799995
9,528.0991,1357.8495,-1114.2181,0.0,0.0,0.0,-1277.4541,-15828.0393,621.3694,11601.948,-2133.3811,59.53134527999999,-4.5977,-4110.4455,-2073.84975472,-6188.8929547200005
