GENERALIZED BORN:
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,ESCF,G gas,G solv,TOTAL
0,469.8432,1438.5972,-1098.3463,0.0,0.0,0.0,-1268.4403,-16222.6482,608.3996,11608.2209,-1756.5623,56.361770639999996,1.2719,-4464.373899999999,-1700.20052936,-6163.3025293599985
1,498.5928,1383.4788,-1111.5032,0.0,0.0,0.0,-1298.2183,-16078.5285,606.849,11509.7329,-1797.29,54.516511439999995,-5.945,-4489.5965,-1742.77348856,-6238.31498856
2,524.8021,1440.8115,-1087.4494,0.0,0.0,0.0,-1266.3441,-16044.6793,606.3534,11501.4907,-1853.7605,54.84193848,-3.6749,-4325.015099999999,-1798.9185615200001,-6127.608561519999
3,536.9863,1451.5493,-1075.5273,0.0,0.0,0.0,-1320.36,-15992.3818,599.1712,11507.779,-1886.8508,54.00835128,-5.6863,-4292.783299999997,-1832.84244872,-6131.312048719998
4,524.0481,1415.2917,-1075.4587,0.0,0.0,0.0,-1276.8804,-16194.5152,605.4424,11554.2521,-1779.9969,55.68002712,2.7278,-4447.8200000000015,-1724.3168728800001,-6169.409072880002
5,519.8848,1451.3548,-1087.6923,0.0,0.0,0.0,-1302.7752,-15928.1348,596.0077,11473.3285,-1930.6964,56.199006,0.7376,-4278.0265,-1874.497394,-6151.7862939999995
6,505.3025,1416.9924,-1099.1022,0.0,0.0,0.0,-1301.6368,-15889.6571,591.9666,11493.1058,-1959.5061,56.78727624,5.2856,-4283.028800000002,-1902.71882376,-6180.462023760002
7,478.0587,1415.3402,-1109.8537,0.0,0.0,0.0,-1288.5021,-15933.1038,613.3201,11540.5397,-1961.1566,56.59588224,-0.7555,-4284.200900000002,-1904.56071776,-6189.517117760002
8,472.9345,1418.8775,-1121.6997,0.0,0.0,0.0,-1279.2125,-15982.7245,594.0385,11538.4725,-1891.9636,56.49700032,-3.5054,-4359.313700000001,-1835.46659968,-6198.285699680001
9,479.5486,1413.9692,-1074.7274,0.0,0.0,0.0,-1275.7713,-15944.5677,603.3511,11451.519,-1890.3864,55.858039919999996,-4.1703,-4346.678499999998,-1834.52836008,-6185.377160079998
10,529.9074,1465.8128,-1097.8852,0.0,0.0,0.0,-1276.907,-15935.4911,593.3125,11474.4621,-1894.0262,56.1330288,3.8571,-4246.788499999999,-1837.8931712,-6080.824571199999
11,501.8097,1449.9902,-1079.2121,0.0,0.0,0.0,-1275.1545,-16058.2047,609.4138,11502.6585,-1841.3014,55.90353312,-7.6951,-4348.699100000002,-1785.39786688,-6141.792066880002
12,479.4276,1354.4603,-1072.6731,0.0,0.0,0.0,-1272.2005,-15956.408,621.4109,11507.1334,-1896.4144,54.9519192,-4.036,-4338.849399999999,-1841.4624807999999,-6184.347880799999
13,500.7776,1400.4729,-1065.903,0.0,0.0,0.0,-1295.7054,-16022.5504,594.9339,11517.1351,-1875.436,54.403862399999994,7.9028,-4370.8393,-1821.0321376,-6183.968637599999
14,510.854,1403.5789,-1070.2317,0.0,0.0,0.0,-1292.2036,-15937.4756,594.6209,11493.5927,-1899.8417,55.78008551999999,-1.9668,-4297.2644,-1844.06161448,-6143.29281448
15,492.1526,1452.8639,-1096.1293,0.0,0.0,0.0,-1265.6197,-15867.748,607.2277,11454.3201,-1932.2296,56.17477368,11.6847,-4222.932699999999,-1876.0548263199998,-6087.302826319999
16,531.4949,1427.6319,-1118.6321,0.0,0.0,0.0,-1285.3145,-15885.3301,587.2636,11519.7155,-1954.9295,55.711471679999995,2.6225,-4223.170799999998,-1899.21802832,-6119.766328319998
17,506.1367,1404.5477,-1092.2634,0.0,0.0,0.0,-1295.7494,-16045.7536,611.4387,11590.5325,-1875.4241,54.34386552,7.2982,-4321.110799999999,-1821.08023448,-6134.892834479999
18,484.6959,1382.9003,-1111.031,0.0,0.0,0.0,-1278.7775,-15782.1444,634.3481,11554.3044,-2097.3675,58.35910536,-3.4931,-4115.704199999998,-2039.0083946399998,-6158.205694639998
19,527.0898,1432.6119,-1090.2995,0.0,0.0,0.0,-1297.5068,-15992.819,605.5094,11530.1291,-1916.0157,55.5770808,3.5925,-4285.285099999997,-1860.4386192,-6142.131219199998
20,496.329,1447.4112,-1093.1556,0.0,0.0,0.0,-1274.4279,-15850.6448,605.1768,11502.1377,-2004.9817,57.869911439999996,-0.4885,-4167.173600000002,-1947.1117885600002,-6114.773888560003
21,476.9953,1390.0747,-1103.8296,0.0,0.0,0.0,-1293.2111,-15995.8664,613.7515,11536.3505,-1877.3555,56.00302344,7.3386,-4375.7351,-1821.3524765599998,-6189.748976559999
22,517.5087,1415.3874,-1119.0825,0.0,0.0,0.0,-1292.0371,-15948.5973,607.5096,11507.7655,-1884.3903,57.410880479999996,-5.1866,-4311.545700000002,-1826.97941952,-6143.711719520003
23,513.0976,1413.6404,-1078.31,0.0,0.0,0.0,-1289.5278,-16055.5692,614.8475,11546.8145,-1833.8684,55.80914904,1.0112,-4335.007000000001,-1778.05925096,-6112.055050960002
24,520.8851,1398.8704,-1121.0729,0.0,0.0,0.0,-1291.1034,-16047.4426,608.917,11482.4514,-1794.3954,54.97751664,4.8178,-4448.495000000003,-1739.4178833600001,-6183.095083360003
