POISSON BOLTZMANN:
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
0,504.6636,1443.5145,-1083.5387,0.0,0.0,0.0,-1309.4807,-16112.9296,603.221,11792.6538,-1920.4729,1222.7144,-719.52,-4161.8961,-1417.2785,-5579.1746
1,483.4326,1379.3916,-1053.7829,0.0,0.0,0.0,-1311.0369,-16167.6609,632.5376,11809.1231,-1934.5949,1221.1268,-720.9355,-4227.995800000001,-1434.4036,-5662.3994
2,488.4623,1468.1756,-1103.8336,0.0,0.0,0.0,-1287.0603,-16044.4771,610.6057,11771.2397,-1993.7994,1222.6813,-725.0553,-4096.887700000001,-1496.1734000000001,-5593.061100000001
3,545.003,1435.8106,-1101.6004,0.0,0.0,0.0,-1279.9314,-16237.9019,611.5766,11800.2447,-1861.6851,1228.7813,-731.3148,-4226.7988000000005,-1364.2185999999997,-5591.017400000001
4,501.0687,1441.3034,-1107.4464,0.0,0.0,0.0,-1274.6316,-16151.0488,607.3669,11715.1117,-1898.8442,1219.2841,-726.6548,-4268.276100000001,-1406.2149,-5674.491000000001
5,497.6059,1473.6603,-1098.0877,0.0,0.0,0.0,-1314.439,-16131.8107,614.6426,11739.8862,-1869.4206,1212.3903,-720.8932,-4218.542399999998,-1377.9234999999999,-5596.465899999997
6,518.5465,1408.0177,-1104.5744,0.0,0.0,0.0,-1300.1351,-16290.3739,594.4712,11859.4523,-1840.0308,1226.6976,-724.5899,-4314.595699999998,-1337.9231,-5652.518799999999
7,498.5232,1402.8171,-1103.5896,0.0,0.0,0.0,-1292.632,-16125.0056,598.6853,11783.0011,-1934.1485,1230.3264,-737.7918,-4238.200500000003,-1441.6139,-5679.814400000003
8,512.7575,1413.1421,-1094.7445,0.0,0.0,0.0,-1267.1398,-16211.1497,613.8033,11758.2671,-1878.7496,1227.5481,-734.9185,-4275.064,-1386.1200000000001,-5661.184
9,491.913,1413.7252,-1119.6613,0.0,0.0,0.0,-1278.4416,-16218.0226,611.6988,11785.5366,-1844.2072,1230.6335,-734.7234,-4313.251900000001,-1348.2971000000002,-5661.549000000001
10,521.2605,1442.1069,-1124.0713,0.0,0.0,0.0,-1310.7307,-16127.7591,611.1979,11781.7889,-1931.5467,1223.5696,-735.7017,-4206.206900000001,-1443.6788000000001,-5649.885700000001
11,505.9545,1404.2418,-1108.3245,0.0,0.0,0.0,-1262.4988,-16106.8739,615.6137,11846.2818,-2032.7531,1224.5241,-733.9349,-4105.605399999999,-1542.1638999999998,-5647.769299999998
12,508.5312,1422.9671,-1076.6346,0.0,0.0,0.0,-1295.3011,-16257.7802,591.937,11836.6498,-1897.2037,1226.6929,-732.2242,-4269.630800000001,-1402.7350000000001,-5672.3658000000005
13,498.662,1378.0696,-1130.0348,0.0,0.0,0.0,-1276.9532,-16297.1459,631.2028,11817.3916,-1811.4694,1226.0881,-732.9295,-4378.807899999998,-1318.3108,-5697.118699999998
14,489.9985,1432.5311,-1082.2274,0.0,0.0,0.0,-1286.2846,-16170.5588,616.1536,11802.5534,-1923.8534,1229.4381,-730.8362,-4197.834199999999,-1425.2514999999999,-5623.085699999999
15,510.5257,1432.3217,-1115.2508,0.0,0.0,0.0,-1287.8834,-16190.8813,629.2615,11788.3948,-1900.7153,1219.1517,-721.9514,-4233.511799999998,-1403.5150000000003,-5637.026799999998
16,472.2639,1420.8996,-1073.9184,0.0,0.0,0.0,-1297.1265,-16375.0053,609.1407,11817.8975,-1771.9799,1215.0268,-721.1828,-4425.848500000004,-1278.1359,-5703.984400000005
