POISSON BOLTZMANN:
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
0,492.476,1390.2753,-1102.4485,0.0,0.0,0.0,-1254.8675,-16187.172,627.2165,11764.9645,-1897.3585,1234.078,-744.9211,-4269.555700000001,-1408.2016,-5677.757300000001
1,502.3116,1443.8611,-1113.4336,0.0,0.0,0.0,-1239.7556,-16124.173,606.8911,11702.081,-1923.7008,1247.9223,-758.6333,-4222.2173999999995,-1434.4118,-5656.629199999999
2,512.3007,1460.8901,-1123.431,0.0,0.0,0.0,-1273.8085,-16157.6588,626.3167,11766.9876,-1924.5342,1235.7129,-749.9676,-4188.403200000001,-1438.7889,-5627.1921
3,490.8179,1389.021,-1069.1325,0.0,0.0,0.0,-1246.9449,-16272.8626,610.1427,11762.0246,-1828.1282,1240.8206,-750.7385,-4336.933799999999,-1338.0461,-5674.979899999999
4,491.6666,1453.3709,-1067.4059,0.0,0.0,0.0,-1257.8826,-16268.0046,611.3045,11748.3905,-1857.997,1232.0463,-741.3982,-4288.560600000001,-1367.3489,-5655.909500000001
5,512.0422,1414.2763,-1096.6362,0.0,0.0,0.0,-1280.6839,-16114.233,622.0226,11782.2588,-1937.7683,1239.3181,-742.3122,-4160.9532,-1440.7624,-5601.7155999999995
6,504.6323,1436.4543,-1070.7569,0.0,0.0,0.0,-1267.1162,-16234.2686,603.9276,11750.1505,-1858.9884,1224.3256,-729.7599,-4276.976999999999,-1364.4227,-5641.399699999999
7,491.0098,1410.2511,-1106.6837,0.0,0.0,0.0,-1281.7278,-16103.6867,604.0674,11731.027,-1977.7624,1231.6966,-740.545,-4255.742899999999,-1486.6108,-5742.353699999999
8,494.9138,1456.6021,-1086.6402,0.0,0.0,0.0,-1291.5855,-16265.7235,622.2062,11777.0853,-1798.6893,1229.8964,-733.0501,-4293.141799999999,-1301.8429999999998,-5594.9848
9,529.0791,1445.6577,-1119.6183,0.0,0.0,0.0,-1281.6251,-16208.3932,603.734,11800.4459,-1895.2249,1221.8781,-729.4285,-4230.719899999998,-1402.7753,-5633.4951999999985
