GENERALIZED BORN:
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,503.5048,1434.5472,-1073.1333,0.0,0.0,0.0,-1309.2741,-16270.063,613.992,11767.9968,-1965.438,55.629786239999994,-4332.429599999998,-1909.8082137600002,-6242.237813759998
1,509.3525,1428.4941,-1079.1463,0.0,0.0,0.0,-1301.5091,-16218.6847,611.339,11731.3864,-1939.1092,55.04040432,-4318.768100000001,-1884.06879568,-6202.836895680001
2,513.0631,1405.784,-1109.2608,0.0,0.0,0.0,-1291.9016,-16108.4777,626.3862,11801.5367,-2100.8375,58.031960399999996,-4162.8700999999965,-2042.8055396000002,-6205.675639599996
3,496.0185,1402.8836,-1108.0731,0.0,0.0,0.0,-1253.2701,-16208.5942,627.3809,11862.8176,-2071.6122,57.97389456,-4180.836799999999,-2013.63830544,-6194.4751054399985
4,521.3613,1382.8376,-1087.0916,0.0,0.0,0.0,-1261.0111,-16292.9774,626.5209,11859.2981,-2013.9476,58.4975484,-4251.0622,-1955.4500516,-6206.5122516
5,493.7058,1452.3331,-1069.0364,0.0,0.0,0.0,-1271.6853,-16136.7828,616.2318,11828.2899,-2151.0716,57.796130160000004,-4086.9439,-2093.2754698400004,-6180.219369840001
6,505.003,1443.1084,-1075.4831,0.0,0.0,0.0,-1293.9314,-16115.5866,620.8866,11733.232,-2052.683,56.578916879999994,-4182.7711,-1996.10408312,-6178.87518312
7,497.2889,1415.4883,-1102.3886,0.0,0.0,0.0,-1237.9718,-16180.008,638.1179,11814.4877,-2063.7812,58.57313976,-4154.9856,-2005.20806024,-6160.193660239999
8,519.1316,1375.9186,-1092.1223,0.0,0.0,0.0,-1292.3169,-16216.568,613.3708,11817.513,-2025.4492,55.81803672,-4275.073199999997,-1969.63116328,-6244.704363279997
9,518.2674,1482.6254,-1090.7251,0.0,0.0,0.0,-1280.0211,-16301.8606,627.4977,11832.3237,-1979.238,55.36421856,-4211.892599999999,-1923.8737814400001,-6135.766381439999
