POISSON BOLTZMANN:
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
0,498.1527,1378.0009,-1083.0527,0.0,0.0,0.0,-1277.9629,-16141.578,621.309,11821.5997,-2019.346,39.9676,0.0,-4183.531299999999,-1979.3784,-6162.909699999998
1,531.7664,1409.1406,-1080.8631,0.0,0.0,0.0,-1288.06,-16234.0478,613.3408,11754.3428,-1875.3088,39.9824,0.0,-4294.380300000001,-1835.3264,-6129.706700000001
2,506.9922,1413.7243,-1101.0435,0.0,0.0,0.0,-1305.564,-16137.127,594.8377,11771.1041,-1921.7424,40.6503,0.0,-4257.0761999999995,-1881.0921,-6138.168299999999
3,502.1348,1369.8485,-1116.1487,0.0,0.0,0.0,-1267.5979,-16130.6818,623.1211,11797.1458,-1970.0572,40.7557,0.0,-4222.1782,-1929.3015,-6151.479700000001
4,502.8588,1427.0436,-1079.8578,0.0,0.0,0.0,-1274.2619,-16145.2604,594.3959,11749.8659,-1937.8603,40.297,0.0,-4225.215899999999,-1897.5633,-6122.7792
5,523.5315,1457.309,-1068.074,0.0,0.0,0.0,-1272.2953,-16058.8079,611.8497,11713.596,-1974.5984,40.7555,0.0,-4092.8909999999996,-1933.8429,-6026.733899999999
6,479.3135,1428.2843,-1079.9147,0.0,0.0,0.0,-1279.8495,-16149.7733,621.2778,11748.257,-1929.4383,41.1314,0.0,-4232.404900000003,-1888.3069,-6120.711800000003
7,548.8534,1418.5703,-1071.5542,0.0,0.0,0.0,-1282.706,-15917.1831,599.6859,11703.67,-2076.8379,42.0059,0.0,-4000.663699999999,-2034.8319999999999,-6035.4956999999995
8,540.9875,1463.1189,-1088.1304,0.0,0.0,0.0,-1278.7306,-16112.1686,614.1548,11753.1736,-1956.9727,41.029,0.0,-4107.594800000001,-1915.9437,-6023.538500000001
9,507.1691,1436.2624,-1091.2938,0.0,0.0,0.0,-1299.1377,-16307.6007,607.7518,11802.9117,-1821.5968,39.081,0.0,-4343.9371999999985,-1782.5158000000001,-6126.452999999999
10,527.0975,1460.9161,-1090.3682,0.0,0.0,0.0,-1300.0746,-16131.0772,616.8962,11704.365,-1915.0274,39.024,0.0,-4212.245199999999,-1876.0034,-6088.248599999999
11,501.4816,1429.053,-1113.564,0.0,0.0,0.0,-1253.2935,-16179.3106,615.982,11735.1842,-1871.0932,39.6994,0.0,-4264.4673,-1831.3938,-6095.8611
12,554.8565,1443.5411,-1129.5237,0.0,0.0,0.0,-1291.245,-16184.8871,617.6981,11805.1707,-1889.1794,39.3547,0.0,-4184.3894,-1849.8247,-6034.2141
13,512.8484,1421.7027,-1089.9279,0.0,0.0,0.0,-1281.2289,-16041.2565,614.5452,11789.0834,-2009.4899,39.7603,0.0,-4074.2335999999996,-1969.7296000000001,-6043.9632
14,511.3851,1398.4156,-1107.1397,0.0,0.0,0.0,-1285.6904,-16196.4077,603.607,11764.4039,-1916.7689,39.6772,0.0,-4311.4262,-1877.0917,-6188.5179
15,528.4424,1423.2696,-1112.8318,0.0,0.0,0.0,-1292.8206,-16140.7893,604.6418,11730.9653,-1878.9535,39.7858,0.0,-4259.122600000001,-1839.1677,-6098.290300000001
16,503.7918,1431.0297,-1100.3152,0.0,0.0,0.0,-1266.4423,-16141.1554,611.5435,11774.7523,-1946.764,41.3027,0.0,-4186.795600000001,-1905.4613,-6092.256900000001
17,530.1318,1419.4508,-1086.6957,0.0,0.0,0.0,-1274.7083,-16063.693,619.5854,11773.7619,-2032.0697,40.2433,0.0,-4082.1671000000006,-1991.8264,-6073.9935000000005
18,477.3808,1445.5418,-1068.2708,0.0,0.0,0.0,-1287.0846,-15949.6917,613.6932,11761.6598,-2102.4477,39.4499,0.0,-4006.7715000000007,-2062.9978,-6069.769300000002
19,508.955,1439.4851,-1089.9458,0.0,0.0,0.0,-1273.3977,-16153.8438,609.2452,11745.6422,-1914.0205,38.8273,0.0,-4213.859800000002,-1875.1932000000002,-6089.053000000003
20,504.0191,1416.216,-1078.811,0.0,0.0,0.0,-1271.7961,-16217.238,616.8776,11774.9682,-1886.1776,40.7896,0.0,-4255.764200000001,-1845.388,-6101.152200000001
