POISSON BOLTZMANN:
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
0,505.8248,1469.0523,-1126.487,0.0,0.0,0.0,-1274.775,-16052.8101,593.1062,11700.0542,-1931.6161,1243.6887,-753.2598,-4186.034599999999,-1441.1872,-5627.221799999999
1,496.331,1388.7407,-1073.7017,0.0,0.0,0.0,-1276.0176,-16203.3511,605.6234,11828.8314,-1898.0331,1235.6656,-744.6547,-4233.543900000001,-1407.0222,-5640.566100000001
2,496.7881,1422.9809,-1084.8718,0.0,0.0,0.0,-1250.3744,-16189.7175,611.9877,11810.1827,-1952.118,1251.9338,-755.2812,-4183.024300000001,-1455.4654,-5638.489700000002
3,505.0802,1414.7155,-1088.422,0.0,0.0,0.0,-1265.9062,-16253.7946,608.6458,11779.7069,-1835.3745,1237.5604,-745.4923,-4299.974399999999,-1343.3064,-5643.280799999999
4,520.1437,1394.6135,-1064.0837,0.0,0.0,0.0,-1276.3962,-16248.3261,603.956,11824.4682,-1839.5185,1237.4517,-746.0695,-4245.624600000001,-1348.1362999999997,-5593.760900000001
5,476.5884,1449.126,-1102.9949,0.0,0.0,0.0,-1253.9747,-16159.0732,615.8215,11749.2891,-1915.6041,1237.0264,-746.3446,-4225.217800000002,-1424.9223000000002,-5650.140100000003
6,520.6992,1457.9088,-1104.1431,0.0,0.0,0.0,-1274.4093,-16178.3388,615.1489,11700.6149,-1804.7875,1224.7603,-735.9755,-4262.519399999997,-1316.0027,-5578.522099999998
7,490.2094,1382.7651,-1118.0939,0.0,0.0,0.0,-1270.9088,-16114.5524,600.5575,11761.5958,-1916.5628,1234.6214,-740.4816,-4268.427300000001,-1422.4229999999998,-5690.850300000001
8,529.203,1434.0931,-1085.2811,0.0,0.0,0.0,-1248.8828,-16210.6321,591.2247,11789.2105,-1905.6434,1237.8722,-748.0375,-4201.064700000003,-1415.8087,-5616.873400000003
9,498.028,1418.9826,-1085.8552,0.0,0.0,0.0,-1277.6047,-16297.8338,595.2846,11779.0976,-1811.189,1223.3617,-733.5967,-4369.900900000002,-1321.4240000000002,-5691.324900000003
